Country,Year,Metric Value,Metric
Armenia,2018,37.5,GDP
Benin,2018,36.3,GDP
Burundi,2018,8.5,GDP
Cameroon,2018,93.6,GDP
Central African Republic,2018,4.4,GDP
Chad,2018,24.4,GDP
China,2018,21229.4,GDP
Colombia,2018,710.9,GDP
Congo (Rep.),2018,20.6,GDP
Cote d'Ivoire,2018,126.2,GDP
Dominican Republic,2018,188.2,GDP
Ecuador,2018,197.5,GDP
Gabon,2018,35.8,GDP
Georgia,2018,55.4,GDP
Guatemala,2018,143.3,GDP
Guinea,2018,31.8,GDP
Iran,2018,1214.5,GDP
Macedonia,2018,31.9,GDP
Peru,2018,425.9,GDP
Armenia,2019,40.4,GDP
Benin,2019,38.8,GDP
Burundi,2019,8.7,GDP
Cameroon,2019,96.9,GDP
Central African Republic,2019,4.5,GDP
Chad,2019,25.2,GDP
China,2019,22492.6,GDP
Colombia,2019,733.5,GDP
Congo (Rep.),2019,20.6,GDP
Cote d'Ivoire,2019,134.0,GDP
Dominican Republic,2019,197.7,GDP
Ecuador,2019,197.5,GDP
Gabon,2019,36.2,GDP
Georgia,2019,58.4,GDP
Guatemala,2019,148.4,GDP
Guinea,2019,33.8,GDP
Iran,2019,1192.8,GDP
Macedonia,2019,33.3,GDP
Peru,2019,441.1,GDP
Armenia,2020,37.4,GDP
Benin,2020,40.3,GDP
Burundi,2020,8.7,GDP
Cameroon,2020,97.3,GDP
Central African Republic,2020,4.5,GDP
Chad,2020,24.8,GDP
China,2020,22996.4,GDP
Colombia,2020,681.8,GDP
Congo (Rep.),2020,19.3,GDP
Cote d'Ivoire,2020,136.7,GDP
Dominican Republic,2020,184.4,GDP
Ecuador,2020,182.2,GDP
Gabon,2020,34.1,GDP
Georgia,2020,55.7,GDP
Guatemala,2020,145.5,GDP
Guinea,2020,35.4,GDP
Iran,2020,1134.5,GDP
Macedonia,2020,31.9,GDP
Peru,2020,399.9,GDP
Armenia,2021,39.5,GDP
Benin,2021,42.9,GDP
Burundi,2021,8.8,GDP
